SeriesId,Month,Day,BibleReading,PrimaryBookPageRange,PrimaryBookPageStart,PrimaryBookPageEnd,SecondaryBookPageRange,SecondaryBookPageStart,SecondaryBookPageEnd,SortOrder,FullTextPrimary,FullTextSecondary,SummaryPoints
3,1,13,Gen 21:17,Patriarchs and Prophets pp. 60-64,60,64,,,,113,Sample text from Patriarchs and Prophets pages 60-64. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 60-64 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,14,Gen 40:11,Patriarchs and Prophets pp. 65-69,65,69,,,,114,Sample text from Patriarchs and Prophets pages 65-69. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 65-69 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,15,Gen 31:10,Patriarchs and Prophets pp. 70-75,70,75,,,,115,Sample text from Patriarchs and Prophets pages 70-75. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 70-75 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,16,Gen 18:10,Patriarchs and Prophets pp. 76-80,76,80,,,,116,Sample text from Patriarchs and Prophets pages 76-80. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 76-80 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,17,Gen 31:15,Patriarchs and Prophets pp. 81-85,81,85,,,,117,Sample text from Patriarchs and Prophets pages 81-85. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 81-85 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,18,Gen 40:2,Patriarchs and Prophets pp. 86-89,86,89,,,,118,Sample text from Patriarchs and Prophets pages 86-89. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 86-89 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,19,Gen 35:4,Patriarchs and Prophets pp. 90-95,90,95,,,,119,Sample text from Patriarchs and Prophets pages 90-95. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 90-95 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,20,Gen 11:2,Patriarchs and Prophets pp. 96-101,96,101,,,,120,Sample text from Patriarchs and Prophets pages 96-101. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 96-101 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,21,Gen 35:11,Patriarchs and Prophets pp. 102-107,102,107,,,,121,Sample text from Patriarchs and Prophets pages 102-107. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 102-107 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,22,Gen 5:5,Patriarchs and Prophets pp. 108-113,108,113,,,,122,Sample text from Patriarchs and Prophets pages 108-113. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 108-113 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,23,Gen 31:7,Patriarchs and Prophets pp. 114-117,114,117,,,,123,Sample text from Patriarchs and Prophets pages 114-117. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 114-117 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,24,Gen 20:14,Patriarchs and Prophets pp. 118-121,118,121,,,,124,Sample text from Patriarchs and Prophets pages 118-121. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 118-121 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,25,Gen 5:13,Patriarchs and Prophets pp. 122-127,122,127,,,,125,Sample text from Patriarchs and Prophets pages 122-127. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 122-127 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,26,Gen 37:17,Patriarchs and Prophets pp. 128-132,128,132,,,,126,Sample text from Patriarchs and Prophets pages 128-132. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 128-132 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,27,Gen 28:2,Patriarchs and Prophets pp. 133-137,133,137,,,,127,Sample text from Patriarchs and Prophets pages 133-137. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 133-137 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,28,Gen 6:15,Patriarchs and Prophets pp. 138-141,138,141,,,,128,Sample text from Patriarchs and Prophets pages 138-141. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 138-141 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,29,Gen 11:9,Patriarchs and Prophets pp. 142-147,142,147,,,,129,Sample text from Patriarchs and Prophets pages 142-147. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 142-147 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,30,Gen 14:19,Patriarchs and Prophets pp. 148-152,148,152,,,,130,Sample text from Patriarchs and Prophets pages 148-152. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 148-152 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,31,Gen 36:5,Patriarchs and Prophets pp. 153-158,153,158,,,,131,Sample text from Patriarchs and Prophets pages 153-158. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 153-158 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,2,1,Gen 49:2,Patriarchs and Prophets pp. 159-164,159,164,,,,201,Sample text from Patriarchs and Prophets pages 159-164. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 159-164 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,2,2,Gen 49:11,Patriarchs and Prophets pp. 165-170,165,170,,,,202,Sample text from Patriarchs and Prophets pages 165-170. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 165-170 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,2,3,Gen 7:14,Patriarchs and Prophets pp. 171-174,171,174,,,,203,Sample text from Patriarchs and Prophets pages 171-174. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 171-174 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,2,4,Gen 13:5,Patriarchs and Prophets pp. 175-178,175,178,,,,204,Sample text from Patriarchs and Prophets pages 175-178. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 175-178 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,2,5,Gen 4:14,Patriarchs and Prophets pp. 179-182,179,182,,,,205,Sample text from Patriarchs and Prophets pages 179-182. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 179-182 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,2,6,Gen 7:19,Patriarchs and Prophets pp. 183-187,183,187,,,,206,Sample text from Patriarchs and Prophets pages 183-187. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 183-187 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,2,7,Gen 10:13,Patriarchs and Prophets pp. 188-191,188,191,,,,207,Sample text from Patriarchs and Prophets pages 188-191. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 188-191 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,2,8,Gen 33:12,Patriarchs and Prophets pp. 192-195,192,195,,,,208,Sample text from Patriarchs and Prophets pages 192-195. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 192-195 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,2,9,Gen 6:17,Patriarchs and Prophets pp. 196-201,196,201,,,,209,Sample text from Patriarchs and Prophets pages 196-201. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 196-201 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,2,10,Gen 45:7,Patriarchs and Prophets pp. 202-207,202,207,,,,210,Sample text from Patriarchs and Prophets pages 202-207. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 202-207 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,2,11,Gen 25:13,Patriarchs and Prophets pp. 208-212,208,212,,,,211,Sample text from Patriarchs and Prophets pages 208-212. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 208-212 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,2,12,Gen 13:2,Patriarchs and Prophets pp. 213-217,213,217,,,,212,Sample text from Patriarchs and Prophets pages 213-217. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 213-217 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,2,13,Gen 34:15,Patriarchs and Prophets pp. 218-222,218,222,,,,213,Sample text from Patriarchs and Prophets pages 218-222. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 218-222 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,2,14,Gen 18:9,Patriarchs and Prophets pp. 223-227,223,227,,,,214,Sample text from Patriarchs and Prophets pages 223-227. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 223-227 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,2,15,Gen 42:17,Patriarchs and Prophets pp. 228-232,228,232,,,,215,Sample text from Patriarchs and Prophets pages 228-232. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 228-232 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,2,16,Gen 34:3,Patriarchs and Prophets pp. 233-237,233,237,,,,216,Sample text from Patriarchs and Prophets pages 233-237. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 233-237 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,2,17,Gen 48:3,Patriarchs and Prophets pp. 238-243,238,243,,,,217,Sample text from Patriarchs and Prophets pages 238-243. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 238-243 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,2,18,Gen 19:11,Patriarchs and Prophets pp. 244-247,244,247,,,,218,Sample text from Patriarchs and Prophets pages 244-247. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 244-247 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,2,19,Gen 37:7,Patriarchs and Prophets pp. 248-252,248,252,,,,219,Sample text from Patriarchs and Prophets pages 248-252. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 248-252 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,2,20,Gen 9:17,Patriarchs and Prophets pp. 253-257,253,257,,,,220,Sample text from Patriarchs and Prophets pages 253-257. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 253-257 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,2,21,Gen 21:5,Patriarchs and Prophets pp. 258-262,258,262,,,,221,Sample text from Patriarchs and Prophets pages 258-262. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 258-262 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,2,22,Gen 40:15,Patriarchs and Prophets pp. 263-267,263,267,,,,222,Sample text from Patriarchs and Prophets pages 263-267. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 263-267 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,2,23,Gen 29:16,Patriarchs and Prophets pp. 268-272,268,272,,,,223,Sample text from Patriarchs and Prophets pages 268-272. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 268-272 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,2,24,Gen 43:9,Patriarchs and Prophets pp. 273-277,273,277,,,,224,Sample text from Patriarchs and Prophets pages 273-277. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 273-277 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,2,25,Gen 47:16,Patriarchs and Prophets pp. 278-281,278,281,,,,225,Sample text from Patriarchs and Prophets pages 278-281. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 278-281 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,2,26,Gen 32:16,Patriarchs and Prophets pp. 282-285,282,285,,,,226,Sample text from Patriarchs and Prophets pages 282-285. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 282-285 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,2,27,Gen 15:9,Patriarchs and Prophets pp. 286-291,286,291,,,,227,Sample text from Patriarchs and Prophets pages 286-291. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 286-291 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,2,28,Gen 4:18,Patriarchs and Prophets pp. 292-297,292,297,,,,228,Sample text from Patriarchs and Prophets pages 292-297. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 292-297 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,1,Gen 17:3,Patriarchs and Prophets pp. 298-301,298,301,,,,301,Sample text from Patriarchs and Prophets pages 298-301. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 298-301 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,2,Gen 45:10,Patriarchs and Prophets pp. 302-305,302,305,,,,302,Sample text from Patriarchs and Prophets pages 302-305. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 302-305 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,3,Gen 3:10,Patriarchs and Prophets pp. 306-311,306,311,,,,303,Sample text from Patriarchs and Prophets pages 306-311. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 306-311 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,4,Gen 34:18,Patriarchs and Prophets pp. 312-317,312,317,,,,304,Sample text from Patriarchs and Prophets pages 312-317. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 312-317 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,5,Gen 1:1,Patriarchs and Prophets pp. 318-321,318,321,,,,305,Sample text from Patriarchs and Prophets pages 318-321. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 318-321 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,6,Gen 47:2,Patriarchs and Prophets pp. 322-325,322,325,,,,306,Sample text from Patriarchs and Prophets pages 322-325. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 322-325 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,7,Gen 7:3,Patriarchs and Prophets pp. 326-329,326,329,,,,307,Sample text from Patriarchs and Prophets pages 326-329. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 326-329 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,8,Gen 41:9,Patriarchs and Prophets pp. 330-335,330,335,,,,308,Sample text from Patriarchs and Prophets pages 330-335. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 330-335 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,9,Gen 18:3,Patriarchs and Prophets pp. 336-341,336,341,,,,309,Sample text from Patriarchs and Prophets pages 336-341. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 336-341 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,10,Gen 38:17,Patriarchs and Prophets pp. 342-346,342,346,,,,310,Sample text from Patriarchs and Prophets pages 342-346. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 342-346 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,11,Gen 47:7,Patriarchs and Prophets pp. 347-351,347,351,,,,311,Sample text from Patriarchs and Prophets pages 347-351. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 347-351 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,12,Gen 7:9,Patriarchs and Prophets pp. 352-355,352,355,,,,312,Sample text from Patriarchs and Prophets pages 352-355. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 352-355 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,13,Gen 23:13,Patriarchs and Prophets pp. 356-360,356,360,,,,313,Sample text from Patriarchs and Prophets pages 356-360. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 356-360 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,14,Gen 41:16,Patriarchs and Prophets pp. 361-364,361,364,,,,314,Sample text from Patriarchs and Prophets pages 361-364. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 361-364 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,15,Gen 15:5,Patriarchs and Prophets pp. 365-370,365,370,,,,315,Sample text from Patriarchs and Prophets pages 365-370. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 365-370 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,16,Gen 2:12,Patriarchs and Prophets pp. 371-376,371,376,,,,316,Sample text from Patriarchs and Prophets pages 371-376. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 371-376 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,17,Gen 32:7,Patriarchs and Prophets pp. 377-382,377,382,,,,317,Sample text from Patriarchs and Prophets pages 377-382. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 377-382 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,18,Gen 19:18,Patriarchs and Prophets pp. 383-387,383,387,,,,318,Sample text from Patriarchs and Prophets pages 383-387. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 383-387 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,19,Gen 26:10,Patriarchs and Prophets pp. 388-393,388,393,,,,319,Sample text from Patriarchs and Prophets pages 388-393. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 388-393 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,20,Gen 21:11,Patriarchs and Prophets pp. 394-399,394,399,,,,320,Sample text from Patriarchs and Prophets pages 394-399. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 394-399 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,21,Gen 13:6,Patriarchs and Prophets pp. 400-404,400,404,,,,321,Sample text from Patriarchs and Prophets pages 400-404. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 400-404 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,22,Gen 23:14,Patriarchs and Prophets pp. 405-409,405,409,,,,322,Sample text from Patriarchs and Prophets pages 405-409. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 405-409 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,23,Gen 44:17,Patriarchs and Prophets pp. 410-414,410,414,,,,323,Sample text from Patriarchs and Prophets pages 410-414. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 410-414 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,24,Gen 23:10,Patriarchs and Prophets pp. 415-419,415,419,,,,324,Sample text from Patriarchs and Prophets pages 415-419. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 415-419 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,25,Gen 49:6,Patriarchs and Prophets pp. 420-424,420,424,,,,325,Sample text from Patriarchs and Prophets pages 420-424. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 420-424 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,26,Gen 39:10,Patriarchs and Prophets pp. 425-428,425,428,,,,326,Sample text from Patriarchs and Prophets pages 425-428. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 425-428 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,27,Gen 41:7,Patriarchs and Prophets pp. 429-432,429,432,,,,327,Sample text from Patriarchs and Prophets pages 429-432. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 429-432 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,28,Gen 37:3,Patriarchs and Prophets pp. 433-437,433,437,,,,328,Sample text from Patriarchs and Prophets pages 433-437. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 433-437 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,29,Gen 5:11,Patriarchs and Prophets pp. 438-442,438,442,,,,329,Sample text from Patriarchs and Prophets pages 438-442. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 438-442 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,30,Gen 24:12,Patriarchs and Prophets pp. 443-447,443,447,,,,330,Sample text from Patriarchs and Prophets pages 443-447. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 443-447 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,3,31,Gen 47:1,Patriarchs and Prophets pp. 448-453,448,453,,,,331,Sample text from Patriarchs and Prophets pages 448-453. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 448-453 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,4,1,Gen 46:12,Patriarchs and Prophets pp. 454-457,454,457,,,,401,Sample text from Patriarchs and Prophets pages 454-457. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 454-457 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,4,2,Gen 14:17,Patriarchs and Prophets pp. 458-462,458,462,,,,402,Sample text from Patriarchs and Prophets pages 458-462. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 458-462 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,4,3,Gen 14:3,Patriarchs and Prophets pp. 463-467,463,467,,,,403,Sample text from Patriarchs and Prophets pages 463-467. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 463-467 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,4,4,Gen 10:4,Patriarchs and Prophets pp. 468-473,468,473,,,,404,Sample text from Patriarchs and Prophets pages 468-473. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 468-473 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,4,5,Gen 46:8,Patriarchs and Prophets pp. 474-479,474,479,,,,405,Sample text from Patriarchs and Prophets pages 474-479. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 474-479 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,4,6,Gen 26:15,Patriarchs and Prophets pp. 480-484,480,484,,,,406,Sample text from Patriarchs and Prophets pages 480-484. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 480-484 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,4,7,Gen 26:12,Patriarchs and Prophets pp. 485-490,485,490,,,,407,Sample text from Patriarchs and Prophets pages 485-490. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 485-490 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,4,8,Gen 45:10,Patriarchs and Prophets pp. 491-494,491,494,,,,408,Sample text from Patriarchs and Prophets pages 491-494. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 491-494 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,4,9,Gen 5:7,Patriarchs and Prophets pp. 495-498,495,498,,,,409,Sample text from Patriarchs and Prophets pages 495-498. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 495-498 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,4,10,Gen 10:8,Patriarchs and Prophets pp. 499-502,499,502,,,,410,Sample text from Patriarchs and Prophets pages 499-502. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 499-502 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,4,11,Gen 31:10,Patriarchs and Prophets pp. 503-506,503,506,,,,411,Sample text from Patriarchs and Prophets pages 503-506. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 503-506 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,4,12,Gen 14:2,Patriarchs and Prophets pp. 507-511,507,511,,,,412,Sample text from Patriarchs and Prophets pages 507-511. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 507-511 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,4,13,Gen 38:10,Patriarchs and Prophets pp. 512-517,512,517,,,,413,Sample text from Patriarchs and Prophets pages 512-517. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 512-517 | Key theme: Faith and obedience | Application: Reflect on God's guidance
